number,control_identifier,control_name,control_text
d. Review the contingency plan for the system [Assignment: organization-defined frequency];
e. Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f. Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g. Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h. Protect the contingency plan from unauthorized disclosure and modification.""
286,CP-2(1),"Contingency Plan | Coordinate with Related Plans","Coordinate contingency plan development with organizational elements responsible for related plans."
287,CP-2(2),"Contingency Plan | Capacity Planning","Conduct capacity planning so that necessary capacity for information processing, telecommunications, and environmental support exists during contingency operations."
288,CP-2(3),"Contingency Plan | Resume Mission and Business Functions","Plan for the resumption of [Selection: all; essential] mission and business functions within [Assignment: organization-defined time period] of contingency plan activation."
289,CP-2(5),"Contingency Plan | Continue Mission and Business Functions","Plan for the continuance of [Selection: all; essential] mission and business functions with minimal or no loss of operational continuity and sustains that continuity until full system restoration at primary processing and/or storage sites."
290,CP-2(6),"Contingency Plan | Alternate Processing and Storage Sites","Plan for the transfer of [Selection: all; essential] mission and business functions to alternate processing and/or storage sites with minimal or no loss of operational continuity and sustain that continuity through system restoration to primary processing and/or storage sites."
291,CP-2(7),"Contingency Plan | Coordinate with External Service Providers","Coordinate the contingency plan with the contingency plans of external service providers to ensure that contingency requirements can be satisfied."
292,CP-2(8),"Contingency Plan | Identify Critical Assets","Identify critical system assets supporting [Selection: all; essential] mission and business functions."
293,CP-3,"Contingency Training",""a. Provide contingency training to system users consistent with assigned roles and responsibilities: 
1. Within [Assignment: organization-defined time period] of assuming a contingency role or responsibility;
2. When required by system changes; and
3. [Assignment: organization-defined frequency] thereafter; and
b. Review and update contingency training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].""
294,CP-3(1),"Contingency Training | Simulated Events","Incorporate simulated events into contingency training to facilitate effective response by personnel in crisis situations."
295,CP-3(2),"Contingency Training | Mechanisms Used in Training Environments","Employ mechanisms used in operations to provide a more thorough and realistic contingency training environment."
296,CP-4,"Contingency Plan Testing",""a. Test the contingency plan for the system [Assignment: organization-defined frequency] using  the following tests to determine the effectiveness of the plan and the readiness to execute the plan: [Assignment: organization-defined tests].
b. Review the contingency plan test results; and
c. Initiate corrective actions, if needed.""
297,CP-4(1),"Contingency Plan Testing | Coordinate with Related Plans","Coordinate contingency plan testing with organizational elements responsible for related plans."
298,CP-4(2),"Contingency Plan Testing | Alternate Processing Site",""Test the contingency plan at the alternate processing site:
(a) To familiarize contingency personnel with the facility and available resources; and
(b) To evaluate the capabilities of the alternate processing site to support contingency operations.""
299,CP-4(3),"Contingency Plan Testing | Automated Testing","Test the contingency plan using [Assignment: organization-defined automated mechanisms]."
300,CP-4(4),"Contingency Plan Testing | Full Recovery and Reconstitution","Include a full recovery and reconstitution of the system to a known state as part of contingency plan testing."
301,CP-4(5),"Contingency Plan Testing | Self-challenge","Employ [Assignment: organization-defined mechanisms] to [Assignment: organization-defined system or system component] to disrupt and adversely affect the system or system component."
302,CP-6,"Alternate Storage Site",""a. Establish an alternate storage site, including necessary agreements to permit the storage and retrieval of system backup information; and
b. Ensure that the alternate storage site provides controls equivalent to that of the primary site.""
303,CP-6(1),"Alternate Storage Site | Separation from Primary Site","Identify an alternate storage site that is sufficiently separated from the primary storage site to reduce susceptibility to the same threats."
304,CP-6(2),"Alternate Storage Site | Recovery Time and Recovery Point Objectives","Configure the alternate storage site to facilitate recovery operations in accordance with recovery time and recovery point objectives."
305,CP-6(3),"Alternate Storage Site | Accessibility","Identify potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster and outline explicit mitigation actions."
306,CP-7,"Alternate Processing Site",""a. Establish an alternate processing site, including necessary agreements to permit the transfer and resumption of [Assignment: organization-defined system operations] for essential mission and business functions within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives] when the primary processing capabilities are unavailable;
b. Make available at the alternate processing site, the equipment and supplies required to transfer and resume operations or put contracts in place to support delivery to the site within the organization-defined time period for transfer and resumption; and
c. Provide controls at the alternate processing site that are equivalent to those at the primary site.""
307,CP-7(1),"Alternate Processing Site | Separation from Primary Site","Identify an alternate processing site that is sufficiently separated from the primary processing site to reduce susceptibility to the same threats."
308,CP-7(2),"Alternate Processing Site | Accessibility","Identify potential accessibility problems to alternate processing sites in the event of an area-wide disruption or disaster and outlines explicit mitigation actions."
309,CP-7(3),"Alternate Processing Site | Priority of Service","Develop alternate processing site agreements that contain priority-of-service provisions in accordance with availability requirements (including recovery time objectives)."
310,CP-7(4),"Alternate Processing Site | Preparation for Use","Prepare the alternate processing site so that the site can serve as the operational site supporting essential mission and business functions."
311,CP-7(6),"Alternate Processing Site | Inability to Return to Primary Site","Plan and prepare for circumstances that preclude returning to the primary processing site."
312,CP-8,"Telecommunications Services","Establish alternate telecommunications services, including necessary agreements to permit the resumption of [Assignment: organization-defined system operations] for essential mission and business functions within [Assignment: organization-defined time period] when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites."
313,CP-8(1),"Telecommunications Services | Priority of Service Provisions",""(a) Develop primary and alternate telecommunications service agreements that contain priority-of-service provisions in accordance with availability requirements (including recovery time objectives); and
(b) Request Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness if the primary and/or alternate telecommunications services are provided by a common carrier.""
314,CP-8(2),"Telecommunications Services | Single Points of Failure","Obtain alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services."
315,CP-8(3),"Telecommunications Services | Separation of Primary and Alternate Providers","Obtain alternate telecommunications services from providers that are separated from primary service providers to reduce susceptibility to the same threats."
316,CP-8(4),"Telecommunications Services | Provider Contingency Plan",""(a) Require primary and alternate telecommunications service providers to have contingency plans;
(b) Review provider contingency plans to ensure that the plans meet organizational contingency requirements; and
(c) Obtain evidence of contingency testing and training by providers [Assignment: organization-defined frequency].""
317,CP-8(5),"Telecommunications Services | Alternate Telecommunication Service Testing","Test alternate telecommunication services [Assignment: organization-defined frequency]."
318,CP-9,"System Backup",""a. Conduct backups of user-level information contained in [Assignment: organization-defined system components] [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives];
b. Conduct backups of system-level information contained in the system [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives];
c. Conduct backups of system documentation, including security- and privacy-related documentation [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives]; and  
d. Protect the confidentiality, integrity, and availability of backup information.""
319,CP-9(1),"System Backup | Testing for Reliability and Integrity","Test backup information [Assignment: organization-defined frequency] to verify media reliability and information integrity."
320,CP-9(2),"System Backup | Test Restoration Using Sampling","Use a sample of backup information in the restoration of selected system functions as part of contingency plan testing."
321,CP-9(3),"System Backup | Separate Storage for Critical Information","Store backup copies of [Assignment: organization-defined critical system software and other security-related information] in a separate facility or in a fire rated container that is not collocated with the operational system."
322,CP-9(5),"System Backup | Transfer to Alternate Storage Site","Transfer system backup information to the alternate storage site [Assignment: organization-defined time period and transfer rate consistent with the recovery time and recovery point objectives]."
323,CP-9(6),"System Backup | Redundant Secondary System","Conduct system backup by maintaining a redundant secondary system that is not collocated with the primary system and that can be activated without loss of information or disruption to operations."
324,CP-9(7),"System Backup | Dual Authorization","Enforce dual authorization for the deletion or destruction of [Assignment: organization-defined backup information]."
325,CP-9(8),"System Backup | Cryptographic Protection","Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of [Assignment: organization-defined backup information]."
326,CP-10,"System Recovery and Reconstitution","Provide for the recovery and reconstitution of the system to a known state within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives] after a disruption, compromise, or failure."
327,CP-10(2),"System Recovery and Reconstitution | Transaction Recovery","Implement transaction recovery for systems that are transaction-based."
328,CP-10(4),"System Recovery and Reconstitution | Restore Within Time Period","Provide the capability to restore system components within [Assignment: organization-defined restoration time periods] from configuration-controlled and integrity-protected information representing a known, operational state for the components."
329,CP-10(6),"System Recovery and Reconstitution | Component Protection","Protect system components used for recovery and reconstitution."
330,CP-11,"Alternate Communications Protocols","Provide the capability to employ [Assignment: organization-defined alternative communications protocols] in support of maintaining continuity of operations."
331,CP-12,"Safe Mode","When [Assignment: organization-defined conditions] are detected, enter a safe mode of operation with [Assignment: organization-defined restrictions of safe mode of operation]."
332,CP-13,"Alternative Security Mechanisms","Employ [Assignment: organization-defined alternative or supplemental security mechanisms] for satisfying [Assignment: organization-defined security functions] when the primary means of implementing the security function is unavailable or compromised."
333,IA-1,"Policy and Procedures",""a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] identification and authentication policy that:
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2. Procedures to facilitate the implementation of the identification and authentication policy and the associated identification and authentication controls;
b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the identification and authentication policy and procedures; and
c. Review and update the current identification and authentication:
1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].""
334,IA-2,"Identification and Authentication (organizational Users)","Uniquely identify and authenticate organizational users and associate that unique identification with processes acting on behalf of those users."
335,IA-2(1),"Identification and Authentication (organizational Users) | Multi-factor Authentication to Privileged Accounts","Implement multi-factor authentication for access to privileged accounts."
336,IA-2(2),"Identification and Authentication (organizational Users) | Multi-factor Authentication to Non-privileged Accounts","Implement multi-factor authentication for access to non-privileged accounts."
337,IA-2(5),"Identification and Authentication (organizational Users) | Individual Authentication with Group Authentication","When shared accounts or authenticators are employed, require users to be individually authenticated before granting access to the shared accounts or resources."
338,IA-2(6),"Identification and Authentication (organizational Users) | Access to Accounts — Separate Device",""Implement multi-factor authentication for [Selection (one or more): local; network; remote] access to [Selection (one or more): privileged accounts; non-privileged accounts] such that:
(a) One of the factors is provided by a device separate from the system gaining access; and
(b) The device meets [Assignment: organization-defined strength of mechanism requirements].""
339,IA-2(8),"Identification and Authentication (organizational Users) | Access to Accounts — Replay Resistant","Implement replay-resistant authentication mechanisms for access to [Selection (one or more): privileged accounts; non-privileged accounts]."
340,IA-2(10),"Identification and Authentication (organizational Users) | Single Sign-on","Provide a single sign-on capability for [Assignment: organization-defined system accounts and services]."
341,IA-2(12),"Identification and Authentication (organizational Users) | Acceptance of PIV Credentials","Accept and electronically verify Personal Identity Verification-compliant credentials."
342,IA-2(13),"Identification and Authentication (organizational Users) | Out-of-band Authentication","Implement the following out-of-band authentication mechanisms under [Assignment: organization-defined conditions]: [Assignment: organization-defined out-of-band authentication]."
343,IA-3,"Device Identification and Authentication","Uniquely identify and authenticate [Assignment: organization-defined devices and/or types of devices] before establishing a [Selection (one or more): local; remote; network] connection."
344,IA-3(1),"Device Identification and Authentication | Cryptographic Bidirectional Authentication","Authenticate [Assignment: organization-defined devices and/or types of devices] before establishing [Selection (one or more): local; remote; network] connection using bidirectional authentication that is cryptographically based."
345,IA-3(3),"Device Identification and Authentication | Dynamic Address Allocation",""(a) Where addresses are allocated dynamically, standardize dynamic address allocation lease information and the lease duration assigned to devices in accordance with [Assignment: organization-defined lease information and lease duration]; and
(b) Audit lease information when assigned to a device.""
346,IA-3(4),"Device Identification and Authentication | Device Attestation","Handle device identification and authentication based on attestation by [Assignment: organization-defined configuration management process]."
347,IA-4,"Identifier Management",""Manage system identifiers by:
a. Receiving authorization from [Assignment: organization-defined personnel or roles] to assign an individual, group, role, service, or device identifier;
b. Selecting an identifier that identifies an individual, group, role, service, or device;
c. Assigning the identifier to the intended individual, group, role, service, or device; and
d. Preventing reuse of identifiers for [Assignment: organization-defined time period].""
348,IA-4(1),"Identifier Management | Prohibit Account Identifiers as Public Identifiers","Prohibit the use of system account identifiers that are the same as public identifiers for individual accounts."
349,IA-4(4),"Identifier Management | Identify User Status","Manage individual identifiers by uniquely identifying each individual as [Assignment: organization-defined characteristic identifying individual status]."
350,IA-4(5),"Identifier Management | Dynamic Management","Manage individual identifiers dynamically in accordance with [Assignment: organization-defined dynamic identifier policy]."
351,IA-4(6),"Identifier Management | Cross-organization Management","Coordinate with the following external organizations for cross-organization management of identifiers: [Assignment: organization-defined external organizations]."
352,IA-4(8),"Identifier Management | Pairwise Pseudonymous Identifiers","Generate pairwise pseudonymous identifiers."
353,IA-4(9),"Identifier Management | Attribute Maintenance and Protection","Maintain the attributes for each uniquely identified individual, device, or service in [Assignment: organization-defined protected central storage]."
354,IA-5,"Authenticator Management",""Manage system authenticators by:
a. Verifying, as part of the initial authenticator distribution, the identity of the individual, group, role, service, or device receiving the authenticator;
b. Establishing initial authenticator content for any authenticators issued by the organization;
c. Ensuring that authenticators have sufficient strength of mechanism for their intended use;
d. Establishing and implementing administrative procedures for initial authenticator distribution, for lost or compromised or damaged authenticators, and for revoking authenticators;
e. Changing default authenticators prior to first use;
f. Changing or refreshing authenticators [Assignment: organization-defined time period by authenticator type] or when [Assignment: organization-defined events] occur;
g. Protecting authenticator content from unauthorized disclosure and modification;
h. Requiring individuals to take, and having devices implement, specific controls to protect authenticators; and
i. Changing authenticators for group or role accounts when membership to those accounts changes.""
355,IA-5(1),"Authenticator Management | Password-based Authentication",""For password-based authentication:
(a) Maintain a list of commonly-used, expected, or compromised passwords and update the list [Assignment: organization-defined frequency] and when organizational passwords are suspected to have been compromised directly or indirectly;
(b) Verify, when users create or update passwords, that the passwords are not found on the list of commonly-used, expected, or compromised passwords in IA-5(1)(a);
(c) Transmit passwords only over cryptographically-protected channels;
(d) Store passwords using an approved salted key derivation function, preferably using a keyed hash;
(e) Require immediate selection of a new password upon account recovery;
(f) Allow user selection of long passwords and passphrases, including spaces and all printable characters;
(g) Employ automated tools to assist the user in selecting strong password authenticators; and
(h) Enforce the following composition and complexity rules: [Assignment: organization-defined composition and complexity rules].""
356,IA-5(2),"Authenticator Management | Public Key-based Authentication",""(a) For public key-based authentication:
(1) Enforce authorized access to the corresponding private key; and
(2) Map the authenticated identity to the account of the individual or group; and
(b) When public key infrastructure (PKI) is used:
(1) Validate certificates by constructing and verifying a certification path to an accepted trust anchor, including checking certificate status information; and
(2) Implement a local cache of revocation data to support path discovery and validation.""
357,IA-5(5),"Authenticator Management | Change Authenticators Prior to Delivery","Require developers and installers of system components to provide unique authenticators or change default authenticators prior to delivery and installation."
358,IA-5(6),"Authenticator Management | Protection of Authenticators","Protect authenticators commensurate with the security category of the information to which use of the authenticator permits access."
359,IA-5(7),"Authenticator Management | No Embedded Unencrypted Static Authenticators","Ensure that unencrypted static authenticators are not embedded in applications or other forms of static storage."
360,IA-5(8),"Authenticator Management | Multiple System Accounts","Implement [Assignment: organization-defined security controls] to manage the risk of compromise due to individuals having accounts on multiple systems."
361,IA-5(9),"Authenticator Management | Federated Credential Management","Use the following external organizations to federate credentials: [Assignment: organization-defined external organizations]."
362,IA-5(10),"Authenticator Management | Dynamic Credential Binding","Bind identities and authenticators dynamically using the following rules: [Assignment: organization-defined binding rules]."
363,IA-5(12),"Authenticator Management | Biometric Authentication Performance","For biometric-based authentication, employ mechanisms that satisfy the following biometric quality requirements [Assignment: organization-defined biometric quality requirements]."
364,IA-5(13),"Authenticator Management | Expiration of Cached Authenticators","Prohibit the use of cached authenticators after [Assignment: organization-defined time period]."
365,IA-5(14),"Authenticator Management | Managing Content of PKI Trust Stores","For PKI-based authentication, employ an organization-wide methodology for managing the content of PKI trust stores installed across all platforms, including networks, operating systems, browsers, and applications."
366,IA-5(15),"Authenticator Management | GSA-approved Products and Services","Use only General Services Administration-approved products and services for identity, credential, and access management."
367,IA-5(16),"Authenticator Management | In-person or Trusted External Party Authenticator Issuance","Require that the issuance of [Assignment: organization-defined types of and/or specific authenticators] be conducted [Selection: in person; by a trusted external party] before [Assignment: organization-defined registration authority] with authorization by [Assignment: organization-defined personnel or roles]."
368,IA-5(17),"Authenticator Management | Presentation Attack Detection for Biometric Authenticators","Employ presentation attack detection mechanisms for biometric-based authentication."
369,IA-5(18),"Authenticator Management | Password Managers",""(a) Employ [Assignment: organization-defined password managers] to generate and manage passwords; and
(b) Protect the passwords using [Assignment: organization-defined controls].""
370,IA-6,"Authentication Feedback","Obscure feedback of authentication information during the authentication process to protect the information from possible exploitation and use by unauthorized individuals."
371,IA-7,"Cryptographic Module Authentication","Implement mechanisms for authentication to a cryptographic module that meet the requirements of applicable laws, executive orders, directives, policies, regulations, standards, and guidelines for such authentication."
372,IA-8,"Identification and Authentication (non-organizational Users)","Uniquely identify and authenticate non-organizational users or processes acting on behalf of non-organizational users."
373,IA-8(1),"Identification and Authentication (non-organizational Users) | Acceptance of PIV Credentials from Other Agencies","Accept and electronically verify Personal Identity Verification-compliant credentials from other federal agencies."
374,IA-8(2),"Identification and Authentication (non-organizational Users) | Acceptance of External Authenticators",""(a) Accept only external authenticators that are NIST-compliant; and
(b) Document and maintain a list of accepted external authenticators.""
375,IA-8(4),"Identification and Authentication (non-organizational Users) | Use of Defined Profiles","Conform to the following profiles for identity management [Assignment: organization-defined identity management profiles]."
376,IA-8(5),"Identification and Authentication (non-organizational Users) | Acceptance of PIV-I Credentials","Accept and verify federated or PKI credentials that meet [Assignment: organization-defined policy]."
377,IA-8(6),"Identification and Authentication (non-organizational Users) | Disassociability","Implement the following measures to disassociate user attributes or identifier assertion relationships among individuals, credential service providers, and relying parties: [Assignment: organization-defined measures]."
378,IA-9,"Service Identification and Authentication","Uniquely identify and authenticate [Assignment: organization-defined system services and applications] before establishing communications with devices, users, or other services or applications."
379,IA-10,"Adaptive Authentication","Require individuals accessing the system to employ [Assignment: organization-defined supplemental authentication techniques or mechanisms] under specific [Assignment: organization-defined circumstances or situations]."
380,IA-11,Re-authentication,"Require users to re-authenticate when [Assignment: organization-defined circumstances or situations requiring re-authentication]."
381,IA-12,"Identity Proofing",""a. Identity proof users that require accounts for logical access to systems based on appropriate identity assurance level requirements as specified in applicable standards and guidelines; 
b. Resolve user identities to a unique individual; and
c. Collect, validate, and verify identity evidence.""
382,IA-12(1),"Identity Proofing | Supervisor Authorization","Require that the registration process to receive an account for logical access includes supervisor or sponsor authorization."
383,IA-12(2),"Identity Proofing | Identity Evidence","Require evidence of individual identification be presented to the registration authority."
384,IA-12(3),"Identity Proofing | Identity Evidence Validation and Verification","Require that the presented identity evidence be validated and verified through [Assignment: organizational defined methods of validation and verification]."
385,IA-12(4),"Identity Proofing | In-person Validation and Verification","Require that the validation and verification of identity evidence be conducted in person before a designated registration authority."
386,IA-12(5),"Identity Proofing | Address Confirmation","Require that a [Selection: registration code; notice of proofing] be delivered through an out-of-band channel to verify the users address (physical or digital) of record."
387,IA-12(6),"Identity Proofing | Accept Externally-proofed Identities","Accept externally-proofed identities at [Assignment: organization-defined identity assurance level]."
388,IR-1,"Policy and Procedures",""a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] incident response policy that:
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2. Procedures to facilitate the implementation of the incident response policy and the associated incident response controls;
b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the incident response policy and procedures; and
c. Review and update the current incident response:
1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].""
389,IR-2,"Incident Response Training",""a. Provide incident response training to system users consistent with assigned roles and responsibilities:
1. Within [Assignment: organization-defined time period] of assuming an incident response role or responsibility or acquiring system access;
2. When required by system changes; and
3. [Assignment: organization-defined frequency] thereafter; and
b. Review and update incident response training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].""
390,IR-2(1),"Incident Response Training | Simulated Events","Incorporate simulated events into incident response training to facilitate the required response by personnel in crisis situations."
391,IR-2(2),"Incident Response Training | Automated Training Environments","Provide an incident response training environment using [Assignment: organization-defined automated mechanisms]."
392,IR-2(3),"Incident Response Training | Breach","Provide incident response training on how to identify and respond to a breach, including the organization’s process for reporting a breach."
393,IR-3,"Incident Response Testing","Test the effectiveness of the incident response capability for the system [Assignment: organization-defined frequency] using the following tests: [Assignment: organization-defined tests]."
394,IR-3(1),"Incident Response Testing | Automated Testing","Test the incident response capability using [Assignment: organization-defined automated mechanisms]."
395,IR-3(2),"Incident Response Testing | Coordination with Related Plans","Coordinate incident response testing with organizational elements responsible for related plans."
396,IR-3(3),"Incident Response Testing | Continuous Improvement",""Use qualitative and quantitative data from testing to:
(a) Determine the effectiveness of incident response processes;
(b) Continuously improve incident response processes; and
(c) Provide incident response measures and metrics that are accurate, consistent, and in a reproducible format.""
397,IR-4,"Incident Handling",""a. Implement an incident handling capability for incidents that is consistent with the incident response plan and includes preparation, detection and analysis, containment, eradication, and recovery;
b. Coordinate incident handling activities with contingency planning activities;
c. Incorporate lessons learned from ongoing incident handling activities into incident response procedures, training, and testing, and implement the resulting changes accordingly; and
d. Ensure the rigor, intensity, scope, and results of incident handling activities are comparable and predictable across the organization.""
398,IR-4(1),"Incident Handling | Automated Incident Handling Processes","Support the incident handling process using [Assignment: organization-defined automated mechanisms]."
399,IR-4(2),"Incident Handling | Dynamic Reconfiguration","Include the following types of dynamic reconfiguration for [Assignment: organization-defined system components] as part of the incident response capability: [Assignment: organization-defined types of dynamic reconfiguration]."
400,IR-4(3),"Incident Handling | Continuity of Operations","Identify [Assignment: organization-defined classes of incidents] and take the following actions in response to those incidents to ensure continuation of organizational mission and business functions: [Assignment: organization-defined actions to take in response to classes of incidents]."
401,IR-4(4),"Incident Handling | Information Correlation","Correlate incident information and individual incident responses to achieve an organization-wide perspective on incident awareness and response."
402,IR-4(5),"Incident Handling | Automatic Disabling of System","Implement a configurable capability to automatically disable the system if [Assignment: organization-defined security violations] are detected."
403,IR-4(6),"Incident Handling | Insider Threats","Implement an incident handling capability for incidents involving insider threats."
404,IR-4(7),"Incident Handling | Insider Threats — Intra-organization Coordination","Coordinate an incident handling capability for insider threats that includes the following organizational entities [Assignment: organization-defined entities]."
405,IR-4(8),"Incident Handling | Correlation with External Organizations","Coordinate with [Assignment: organization-defined external organizations] to correlate and share [Assignment: organization-defined incident information] to achieve a cross-organization perspective on incident awareness and more effective incident responses."
406,IR-4(9),"Incident Handling | Dynamic Response Capability","Employ [Assignment: organization-defined dynamic response capabilities] to respond to incidents."
407,IR-4(10),"Incident Handling | Supply Chain Coordination","Coordinate incident handling activities involving supply chain events with other organizations involved in the supply chain."
408,IR-4(11),"Incident Handling | Integrated Incident Response Team","Establish and maintain an integrated incident response team that can be deployed to any location identified by the organization in [Assignment: organization-defined time period]."
409,IR-4(12),"Incident Handling | Malicious Code and Forensic Analysis","Analyze malicious code and/or other residual artifacts remaining in the system after the incident."
410,IR-4(13),"Incident Handling | Behavior Analysis","Analyze anomalous or suspected adversarial behavior in or related to [Assignment: organization-defined environments or resources]."
411,IR-4(14),"Incident Handling | Security Operations Center","Establish and maintain a security operations center."
412,IR-4(15),"Incident Handling | Public Relations and Reputation Repair",""(a) Manage public relations associated with an incident; and
(b) Employ measures to repair the reputation of the organization.""
413,IR-5,"Incident Monitoring","Track and document incidents."
414,IR-5(1),"Incident Monitoring | Automated Tracking, Data Collection, and Analysis","Track incidents and collect and analyze incident information using [Assignment: organization-defined automated mechanisms]."
415,IR-6,"Incident Reporting",""a. Require personnel to report suspected incidents to the organizational incident response capability within [Assignment: organization-defined time period]; and
b. Report incident information to [Assignment: organization-defined authorities].""
416,IR-6(1),"Incident Reporting | Automated Reporting","Report incidents using [Assignment: organization-defined automated mechanisms]."
417,IR-6(2),"Incident Reporting | Vulnerabilities Related to Incidents","Report system vulnerabilities associated with reported incidents to [Assignment: organization-defined personnel or roles]."
418,IR-6(3),"Incident Reporting | Supply Chain Coordination","Provide incident information to the provider of the product or service and other organizations involved in the supply chain or supply chain governance for systems or system components related to the incident."
419,IR-7,"Incident Response Assistance","Provide an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the system for the handling and reporting of incidents."
420,IR-7(1),"Incident Response Assistance | Automation Support for Availability of Information and Support","Increase the availability of incident response information and support using [Assignment: organization-defined automated mechanisms]."
421,IR-7(2),"Incident Response Assistance | Coordination with External Providers",""(a) Establish a direct, cooperative relationship between its incident response capability and external providers of system protection capability; and
(b) Identify organizational incident response team members to the external providers.""
422,IR-8,"Incident Response Plan",""a. Develop an incident response plan that:
1. Provides the organization with a roadmap for implementing its incident response capability;
2. Describes the structure and organization of the incident response capability;
3. Provides a high-level approach for how the incident response capability fits into the overall organization;
4. Meets the unique requirements of the organization, which relate to mission, size, structure, and functions;
5. Defines reportable incidents;
6. Provides metrics for measuring the incident response capability within the organization;
7. Defines the resources and management support needed to effectively maintain and mature an incident response capability;
8. Addresses the sharing of incident information;
9. Is reviewed and approved by [Assignment: organization-defined personnel or roles] [Assignment: organization-defined frequency]; and
10. Explicitly designates responsibility for incident response to [Assignment: organization-defined entities, personnel, or roles].
b. Distribute copies of the incident response plan to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements];
c. Update the incident response plan to address system and organizational changes or problems encountered during plan implementation, execution, or testing;
d. Communicate incident response plan changes to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements]; and
e. Protect the incident response plan from unauthorized disclosure and modification.""
423,IR-8(1),"Incident Response Plan | Breaches",""Include the following in the Incident Response Plan for breaches involving personally identifiable information:
(a) A process to determine if notice to individuals or other organizations, including oversight organizations, is needed;
(b) An assessment process to determine the extent of the harm, embarrassment, inconvenience, or unfairness to affected individuals and any mechanisms to mitigate such harms; and
(c) Identification of applicable privacy requirements.""
424,IR-9,"Information Spillage Response",""Respond to information spills by:
a. Assigning [Assignment: organization-defined personnel or roles] with responsibility for responding to information spills;
b. Identifying the specific information involved in the system contamination;
c. Alerting [Assignment: organization-defined personnel or roles] of the information spill using a method of communication not associated with the spill;
d. Isolating the contaminated system or system component;
e. Eradicating the information from the contaminated system or component;
f. Identifying other systems or system components that may have been subsequently contaminated; and
g. Performing the following additional actions: [Assignment: organization-defined actions].""
425,IR-9(2),"Information Spillage Response | Training","Provide information spillage response training [Assignment: organization-defined frequency]."
426,IR-9(3),"Information Spillage Response | Post-spill Operations","Implement the following procedures to ensure that organizational personnel impacted by information spills can continue to carry out assigned tasks while contaminated systems are undergoing corrective actions: [Assignment: organization-defined procedures]."
427,IR-9(4),"Information Spillage Response | Exposure to Unauthorized Personnel","Employ the following controls for personnel exposed to information not within assigned access authorizations: [Assignment: organization-defined controls]."
428,MA-1,"Policy and Procedures",""a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] maintenance policy that:
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2. Procedures to facilitate the implementation of the maintenance policy and the associated maintenance controls;
b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the maintenance policy and procedures; and
c. Review and update the current maintenance:
1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].""
429,MA-2,"Controlled Maintenance",""a. Schedule, document, and review records of maintenance, repair, and replacement on system components in accordance with manufacturer or vendor specifications and/or organizational requirements;
b. Approve and monitor all maintenance activities, whether performed on site or remotely and whether the system or system components are serviced on site or removed to another location;
c. Require that [Assignment: organization-defined personnel or roles] explicitly approve the removal of the system or system components from organizational facilities for off-site maintenance, repair, or replacement;
